date,time,m1,m2,m3,m4,m5,avg,freq
25/11/2020,10:00:00,12.390000,11.850000,12.490000,12.880000,11.250000,12.172001,4.929346
25/11/2020,16:51:00,10.630000,10.280000,10.960000,10.880000,10.500000,10.650000,5.633803
25/11/2020,19:18:4,9.890000,9.930000,10.030000,10.100000,10.330000,10.056000,5.966587
25/11/2020,21:8:20,5.150000,5.000000,4.840000,5.410000,5.400000,5.160000,11.627908
25/11/2020,21:44:18,9.510000,9.460000,9.500000,9.550000,9.400000,9.483999,6.326445
26/11/2020,19:31:57,9.690000,9.510000,9.700000,9.560000,9.410000,9.574000,6.266973
27/11/2020,16:21:50,10.140000,10.020000,10.160000,9.960000,10.010000,10.058001,5.965400
30/11/2020,12:39:39,11.030000,10.980000,10.230000,11.530000,10.960000,10.945999,5.481455
3/12/2020,23:9:0,5.890000,6.150000,6.170000,6.300000,6.240000,6.150000,9.756098
